cellid,enbrnc,xarfcn,unit,band,fc,signal,lat,lon,speed,rsrq,ss,WindGust,Pressure,Precip
5125643,20022,876,18,2,1957.6,-83,39.0345693,-94.5780477,1.5,-15,31,30,28.78,0
5125643,20022,876,18,2,1957.6,-83,39.0345591,-94.5779937,1.5,-15,31,30,28.78,0
25670668,100276,876,112,2,1957.6,-80,39.0345569,-94.5779453,1.5,-10,31,30,28.78,0
25670668,100276,876,112,2,1957.6,-80,39.0345144,-94.5779063,1.5,-10,31,30,28.78,0
5125643,20022,876,18,2,1957.6,-88,39.0344852,-94.5778847,0.7,-16,30,30,28.78,0
5125643,20022,876,18,2,1957.6,-88,39.0344228,-94.5778299,1.3,-16,30,30,28.78,0
5125645,20022,876,2,2,1957.6,-89,39.0343734,-94.5777857,1.4,-15,30,30,28.78,0
5125645,20022,876,2,2,1957.6,-89,39.034288,-94.5777043,1.5,-15,30,30,28.78,0
10118668,39526,876,52,2,1957.6,-92,39.0342221,-94.5776919,1.2,-20,30,30,28.78,0
10118668,39526,876,52,2,1957.6,-92,39.0341652,-94.5776686,1.3,-20,30,30,28.78,0
10118668,39526,876,52,2,1957.6,-85,39.0340203,-94.5777813,0.8,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-85,39.0339451,-94.5774919,1,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-81,39.0340371,-94.5774766,1.1,-9,30,30,28.78,0
10118668,39526,876,52,2,1957.6,-90,39.0340106,-94.5774119,0.5,-14,28,30,28.78,0
10118668,39526,876,52,2,1957.6,-90,39.0339763,-94.5773648,1.3,-14,28,30,28.78,0
10118668,39526,876,52,2,1957.6,-90,39.033963,-94.5773057,1.5,-14,28,30,28.78,0
10118668,39526,876,52,2,1957.6,-92,39.0339696,-94.5772208,1.4,-14,28,30,28.78,0
10118668,39526,876,52,2,1957.6,-92,39.0339687,-94.5771481,0.3,-14,28,30,28.78,0
10118668,39526,876,52,2,1957.6,-98,39.0339322,-94.5770584,1.6,-14,25,30,28.78,0
10118668,39526,876,52,2,1957.6,-95,39.0339214,-94.5770058,0.6,-14,26,30,28.78,0
10118668,39526,876,52,2,1957.6,-95,39.0338472,-94.5770391,1.8,-14,26,30,28.78,0
10118668,39526,876,52,2,1957.6,-105,39.0338328,-94.5770555,1.8,-11,20,30,28.78,0
8792588,34346,876,400,2,1957.6,-93,39.0615193,-94.5872366,0.2,-11,26,30,28.78,0
8792588,34346,876,400,2,1957.6,-92,39.0615202,-94.5872167,0.1,-13,27,30,28.78,0
8792588,34346,876,400,2,1957.6,-92,39.0615227,-94.5872159,0.1,-13,27,30,28.78,0
8792588,34346,876,400,2,1957.6,-94,39.0615142,-94.587215,0.1,-11,25,30,28.78,0
5122562,20010,66611,445,66,2127.5,-91,39.0615181,-94.5872132,0.1,-10,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-97,39.0615125,-94.5872077,0.1,-15,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-97,39.0615026,-94.5871968,0.3,-15,26,30,28.78,0
5122562,20010,66611,445,66,2127.5,-80,39.0615113,-94.5871771,0.5,-12,31,30,28.78,0
5122562,20010,66611,445,66,2127.5,-80,39.0615214,-94.5871679,0.2,-12,31,30,28.78,0
5122562,20010,66611,445,66,2127.5,-87,39.0614796,-94.5870705,1.1,-7,27,30,28.78,0
5122562,20010,66611,445,66,2127.5,-87,39.0614814,-94.5870413,0.6,-7,27,30,28.78,0
5122562,20010,66611,445,66,2127.5,-85,39.0615368,-94.58706,0.8,-13,30,30,28.78,0
5122562,20010,66611,445,66,2127.5,-85,39.0616267,-94.5870902,1,-13,30,30,28.78,0
5122562,20010,66611,445,66,2127.5,-83,39.0617537,-94.5870677,1.7,-11,31,30,28.78,0
