cellid,xarfcn,fc,signal,lat,lon,acc,speed,alt,rsrq,rssnr,ss,ta
5122562,66611,2127.5,-83,39.0617365,-94.5870715,13.4,1.1,248.5,-13,18.2,31,-1
5122562,66611,2127.5,-83,39.0616694,-94.5870574,12.5,1.2,248.5,-13,18.2,31,-1
5122562,66611,2127.5,-84,39.0616121,-94.5870579,13.3,1.2,248.5,-15,25.4,31,-1
5122562,66611,2127.5,-84,39.0615449,-94.587072,14.3,1.2,251.7,-15,22.2,31,-1
5122562,66611,2127.5,-82,39.0614854,-94.5871236,12.3,0.8,251.7,-14,23.4,31,-1
5122562,66611,2127.5,-82,39.061483,-94.587191,11.4,0.1,251.7,-14,14.2,31,-1
5122562,66611,2127.5,-93,39.0614863,-94.5872233,11.7,0.1,251.7,-14,25.6,27,2
5122562,66611,2127.5,-93,39.0614495,-94.5872329,12.4,1.2,251.7,-14,24.6,27,2
8792588,876,1957.6,-92,39.0614404,-94.5872486,12.1,0.5,248.1,-11,17.2,26,3
8792588,876,1957.6,-90,39.0614461,-94.5872151,12.1,0,248.1,-7,12.8,25,-1
8792588,876,1957.6,-94,39.061437,-94.5872229,39,0,251.7,-13,21.6,26,-1
8792588,876,1957.6,-94,39.0614485,-94.5872074,9.3,0.3,251.7,-13,15.6,26,-1
8792588,876,1957.6,-92,39.0614553,-94.5872024,8.5,0.1,248.1,-7,26.6,24,3
8792588,876,1957.6,-92,39.0614429,-94.5871982,41.8,0.3,248.1,-7,16.8,24,3
8792588,876,1957.6,-95,39.0614664,-94.587176,11.5,0,248.1,-11,20.6,24,-1
8792588,876,1957.6,-95,39.0614645,-94.5871761,12.5,0.2,251.7,-11,20.8,24,-1
8792588,876,1957.6,-102,39.0614735,-94.5871771,12.5,0.9,251.7,-14,19,22,-1
8792588,876,1957.6,-102,39.0614909,-94.5871822,13.3,0.9,251.7,-14,12.4,22,-1
8792588,876,1957.6,-94,39.0615237,-94.5872068,15.7,0,0,-14,17.2,26,2
8792588,876,1957.6,-94,39.0615235,-94.5872058,17,0,267.1,-14,16.2,26,2
8792588,876,1957.6,-93,39.0615193,-94.5872366,16.8,0.2,260.4,-11,16.4,26,3
8792588,876,1957.6,-92,39.0615202,-94.5872167,16.2,0.1,252.3,-13,17,27,3
8792588,876,1957.6,-94,39.0615237,-94.5872068,15.7,0,0,-14,17.2,26,2
8792588,876,1957.6,-94,39.0615235,-94.5872058,17,0,267.1,-14,16.2,26,2
8792588,876,1957.6,-93,39.0615193,-94.5872366,16.8,0.2,260.4,-11,16.4,26,3
8792588,876,1957.6,-92,39.0615202,-94.5872167,16.2,0.1,252.3,-13,17,27,3
8792588,876,1957.6,-92,39.0615227,-94.5872159,14.1,0.1,251.7,-13,18.2,27,3
8792588,876,1957.6,-94,39.0615142,-94.587215,13.1,0.1,251.7,-11,14.8,25,3
